name,inputBytes,byteRecursiveBytes,baseDirectBytes,baseFlatBytes,baseRecursiveBytes,fullDirectBytes,fullFlatBytes,fullRecursiveBytes,gzip9Bytes,brotli11Bytes,zstd19Bytes
source_code,65536,35024,46738,37343,33204,46738,34615,31447,19231,15869,17963
json_records,59164,11536,31432,14112,10318,31432,14810,10229,5835,3175,4109
repeated_phrase,65536,188,32060,266,182,13709,165,139,348,81,99
repeated_random_block,131072,4441,130601,6311,4865,130601,7460,5196,5127,4131,4121
edited_versions,131072,5789,130602,9868,6364,130602,12140,6965,5255,4325,4270
recursive_sequence,65536,209,7568,887,233,7568,583,259,435,103,153
biased_bits,65536,5168,5168,5168,5168,5168,5168,5168,7040,6634,6858
uniform_random,65536,65550,65550,65550,65550,65550,65550,65550,65576,65540,65546
repeated_sentences,67872,430,29719,1255,456,12914,989,396,565,156,189
unique_sentences,67474,5025,31952,7551,3889,17257,6687,4760,2238,992,935
short_text,150,136,89,89,89,70,70,70,125,68,110
short_html,136,127,90,90,90,78,78,78,131,74,118
