name,inputBytes,nativeBitFlatBytes,nativeBitRecursiveBytes,rawBitFlatBytes,rawBitRecursiveBytes,rawByteFlatBytes,rawByteRecursiveBytes,previousHybridBytes,arithmeticOnlyBytes,gzip9Bytes,brotli11Bytes,zstd19Bytes
source_code,65536,44679,44254,44193,43862,38448,35024,43540,46738,19231,15869,17963
json_records,59164,16636,14726,17060,15664,14354,11536,15498,31432,5835,3175,4109
repeated_phrase,65536,319,186,253,184,255,188,187,33626,348,81,99
repeated_random_block,131072,5126,4431,5242,4426,4768,4441,4246,130601,5127,4131,4121
edited_versions,131072,9231,6023,9338,6153,8375,5789,5583,130602,5255,4325,4270
recursive_sequence,65536,366,187,360,185,407,209,158,7568,435,103,153
biased_bits,65536,5168,5168,5168,5168,5168,5168,5168,5168,7040,6634,6858
uniform_random,65536,65550,65550,65550,65550,65550,65550,65550,65693,65576,65540,65546
repeated_sentences,67872,1344,511,2022,652,1283,430,451,35246,565,156,189
unique_sentences,67474,7267,5904,6689,4893,8139,5025,7718,35430,2238,992,935
