name,inputBytes,naturalGroups,optimizedGroups,naturalMeanLength,optimizedMeanLength,groupReduction,naturalBytes,optimizedBytes,compressionReduction,bestOfTwoBytes,brotli11Bytes,zstd19Bytes,searchMs
source_code,65536,24821,20599,2.6403448692639295,3.1815136657119276,0.170097900970952,35024,35570,-0.015589310187300143,35024,15869,17963,2365.320713
json_records,59164,21642,13483,2.7337584326772015,4.388044203812208,0.3769984289806857,11536,10432,0.09570041608876556,10432,3175,4109,1024.0202819999995
repeated_phrase,65536,22452,15170,2.918938179226795,4.320105471324983,0.32433636201674687,188,164,0.12765957446808507,164,81,99,1075.6979919999994
repeated_random_block,131072,48736,40961,2.6894287590282335,3.199921876907302,0.1595329940906106,4441,4395,0.010358027471290221,4395,4131,4121,2682.6493069999997
edited_versions,131072,48736,40676,2.6894287590282335,3.222342413216639,0.16538082731451087,5789,5934,-0.025047503886681532,5789,4325,4270,2824.941069999997
recursive_sequence,65536,27307,27307,2.3999707034826234,2.3999707034826234,0,209,209,0,209,103,153,1091.676115000002
biased_bits,65536,31531,31517,2.0784624655101327,2.079385728337088,0.0004440074846976394,5168,5168,0,5168,6634,6858,1528.1514339999994
uniform_random,65536,24190,23165,2.709218685407193,2.8290956183898124,0.0423728813559322,65550,65550,0,65550,65540,65546,2536.626971999998
repeated_sentences,67872,24577,16129,2.7616063799487325,4.208072416144832,0.34373601334581116,430,464,-0.07906976744186056,430,156,189,1086.0511830000032
unique_sentences,67474,24186,17164,2.7897957496072108,3.9311349335819155,0.29033325064086657,5025,4250,0.154228855721393,4250,992,935,1092.3096910000022
