name,inputBytes,previousGrammarBytes,previousHybridBytes,flatBytes,recursiveBytes,binaryFlatBytes,binaryRecursiveBytes,arithmeticOnlyBytes,gzip9Bytes,brotli11Bytes,zstd19Bytes
source_code,65536,43540,43540,44679,44254,45307,45307,46738,19231,15869,17963
json_records,59164,15498,15498,16636,14726,17178,15962,31432,5835,3175,4109
repeated_phrase,65536,187,187,319,186,339,226,33626,348,81,99
repeated_random_block,131072,4309,4246,5126,4431,5112,4598,130601,5127,4131,4121
edited_versions,131072,5583,5583,9231,6023,9442,6356,130602,5255,4325,4270
recursive_sequence,65536,158,158,366,187,452,227,7568,435,103,153
biased_bits,65536,6073,5168,5168,5168,5168,5168,5168,7040,6634,6858
uniform_random,65536,65739,65550,65550,65550,65550,65550,65693,65576,65540,65546
repeated_sentences,67872,451,451,1344,511,1362,599,35246,565,156,189
unique_sentences,67474,7718,7718,7267,5904,8421,7309,35430,2238,992,935
